Participant,"Definitive signature of the Protocol, Acceptance of the Protocol, Succession to the Convention and the Protocol","Accession to the Convention as amended(a), Succession to the Convention as amended(d)"
Afghanistan,,29 Jan 1957 a
Algeria,,31 Oct 1963 a
Argentina,11 Dec 1946,
Australia,28 Aug 1947,
Austria,17 May 1950,
Bahamas,13 Aug 1975,
Belgium,11 Dec 1946,
Benin,,5 Dec 1961 d
Bolivia (Plurinational State of),14 Dec 1946,
Brazil,17 Dec 1946,
Burkina Faso,,26 Apr 1963 a
Cambodia,,3 Oct 1951 d
Cameroon,,20 Nov 1961 d
Canada,11 Dec 1946,
Central African Republic,,4 Sep 1962 d
Chile,11 Dec 1946,
Colombia,11 Dec 1946,
Congo,,15 Oct 1962 d
Côte d'Ivoire,,8 Dec 1961 d
Czech Republic,,30 Dec 1993 d
Democratic Republic of the Congo,,31 May 1962 d
Denmark,15 Jun 1949,
Dominican Republic,11 Dec 1946,
Ecuador,8 Jun 1951,
Egypt,13 Sep 1948,
Ethiopia,,9 Sep 1947 a
Fiji,1 Nov 1971,
Finland,3 Feb 1948,
France,10 Oct 1947,
Germany,12 Aug 1959,
Ghana,,7 Apr 1958 d
Greece,21 Feb 1949,
Haiti,31 May 1951,
Honduras,11 Dec 1946,
Hungary,16 Dec 1955,
India,11 Dec 1946,
Indonesia,,3 Apr 1958 a
Iraq,14 Sep 1950,
Ireland,18 Feb 1948,
Israel,,16 May 1952 a
Italy,25 Mar 1948,
Jamaica,,26 Dec 1963 d
Japan,27 Mar 1952,
Jordan,,7 May 1958 a
Lao People's Democratic Republic,,7 Oct 1950 d
Lebanon,13 Dec 1946,
Lesotho,,4 Nov 1974 d
Liechtenstein,25 Sep 1947,
Luxembourg,13 Oct 1949,
Malawi,,22 Jul 1965 d
Malaysia,,21 Aug 1958 d
Mauritius,,18 Jul 1969 d
Monaco,21 Nov 1947,
Morocco,,7 Nov 1956 d
Netherlands,10 Mar 1948,
New Zealand,11 Dec 1946,
Niger,,25 Aug 1961 d
Nigeria,,26 Jun 1961 d
Norway,2 Jul 1947,
Papua New Guinea,,28 Oct 1980 d
Philippines,17 May 1950,
Poland,11 Dec 1946,
Romania,11 Oct 1961,
Russian Federation,25 Oct 1947,
Rwanda,,5 Aug 1964 d
Senegal,,2 May 1963 d
Serbia,,31 Jul 2002 d
Sierra Leone,,13 Mar 1962 d
Slovakia,,28 May 1993 d
South Africa,24 Feb 1948,
Spain,26 Sep 1955,
Sri Lanka,,4 Dec 1957 d
Sweden,17 Oct 1947,
Switzerland,25 Sep 1947,
Syrian Arab Republic,11 Dec 1946,
Thailand,27 Oct 1947,
Togo,,27 Feb 1962 d
Trinidad and Tobago,,11 Apr 1966 d
Turkey,11 Dec 1946,
Uganda,,20 Oct 1965 a
United Kingdom of Great Britain and Northern Ireland,11 Dec 1946,
Zambia,,9 Apr 1973 d
